"First Name","Last Name","Email","Phone","Credit Card","SSN","DOB","City","State"
"Julie","Roberts","julie_roberts@xyz.com","487-555-1212","6011 0000 0000 0004","030-00-8844","3/11/2012","Wichita","KS"
"Jerry","Roberts","jerry_roberts@gmail.com","512-555-1212","5105 1051 0510 5100","353-00-8931","11/4/1988","Seattle","WA"
"Sally","Davis","sally_davis@abc.com","863-555-1212","3400 000000 00009","344-00-8114","2/20/1990","Omaha","NE"
"Joe","Rogers","joe_rogers@gmail.com","522-555-1212","4111 1111 1111 1111","536-00-8582","7/23/1978","Houston","TX"
"Mary","Williams","mary_williams@hotmail.com","652-555-1212","3000 000000 0004","073-00-6400","6/10/2010","Oklahoma City","OK"
"Mary","Miller","mary_miller@outlook.com","337-555-1212","3000 000000 0004","149-00-5717","4/27/1990","Indianapolis","IN"
"Mary","Smith","mary_smith@outlook.com","642-555-1212","3000 000000 0004","460-00-4236","7/7/1999","Oakland","CA"
"Joe","Williams","joe_williams@abc.com","784-555-1212","3000 000000 0004","139-00-9528","11/6/2012","Buffalo","NY"
"Julie","Williams","julie_williams@yahoo.com","929-555-1212","6011 0000 0000 0004","525-00-2256","4/3/2010","Detroit","MI"
"Bill","Brown","bill_brown@gmail.com","434-555-1212","3400 000000 00009","513-00-2056","10/15/1978","St. Louis","MO"
"John","Rogers","john_rogers@xyz.com","910-555-1212","3400 000000 00009","450-00-3758","3/21/2005","Jacksonville","FL"
"Paul","Thomas","paul_thomas@abc.com","591-555-1212","3000 000000 0004","127-00-1322","7/8/2010","Atlanta","GA"
"Jerry","Rogers","jerry_rogers@yahoo.com","880-555-1212","6011 0000 0000 0004","170-00-8482","4/6/1999","Baltimore","MD"
"Mary","Brown","mary_brown@outlook.com","448-555-1212","3400 000000 00009","084-00-6534","9/20/1978","Chicago","IL"
"Jerry","Williams","jerry_williams@xyz.com","610-555-1212","6011 0000 0000 0004","444-00-9585","3/5/2005","Mesa","AZ"
"Sally","Doe","sally_doe@hotmail.com","850-555-1212","3400 000000 00009","139-00-8407","11/17/1988","Jacksonville","FL"
"Bill","Smith","bill_smith@yahoo.com","348-555-1212","3000 000000 0004","387-00-8779","1/4/2010","Austin","TX"
"Bill","Davis","bill_davis@yahoo.com","933-555-1212","3000 000000 0004","387-00-9108","10/4/2001","Greensboro","NC"
"Jane","Jones","jane_jones@yahoo.com","847-555-1212","6011 0000 0000 0004","082-00-3127","2/4/1980","Long Beach","CA"
"Jerry","Miller","jerry_miller@abc.com","858-555-1212","6011 0000 0000 0004","029-00-9126","5/12/1999","Raleigh","NC"
"Jane","Doe","jane_doe@gmail.com","987-555-1212","5105 1051 0510 5100","357-00-2096","8/25/2012","Wichita","KS"
"Julie","Thomas","julie_thomas@hotmail.com","627-555-1212","4111 1111 1111 1111","272-00-9609","4/27/2005","San Jose","CA"
"Bob","Thomas","bob_thomas@xyz.com","893-555-1212","5105 1051 0510 5100","456-00-5049","9/8/2010","Mesa","AZ"
"Tim","Jones","tim_jones@yahoo.com","341-555-1212","3000 000000 0004","477-00-1757","11/22/1988","Virginia Beach","VA"
"Jane","Johnson","jane_johnson@abc.com","602-555-1212","3400 000000 00009","342-00-8258","6/1/1997","Tucson","AZ"
"Julie","Miller","julie_miller@yahoo.com","283-555-1212","5105 1051 0510 5100","242-00-1363","9/23/1980","San Diego","CA"
"Sue","Doe","sue_doe@outlook.com","775-555-1212","3400 000000 00009","129-00-2852","8/18/1980","Corpus Christi","TX"
"Julie","Rogers","julie_rogers@abc.com","595-555-1212","3000 000000 0004","549-00-1188","3/17/2001","Henderson","NV"
"Sue","Rogers","sue_rogers@hotmail.com","866-555-1212","4111 1111 1111 1111","022-00-2779","5/1/1997","Atlanta","GA"
"Jane","Johnson","jane_johnson@gmail.com","211-555-1212","3400 000000 00009","497-00-3355","9/5/1980","San Jose","CA"
"Mary","Williams","mary_williams@hotmail.com","636-555-1212","3000 000000 0004","423-00-5128","10/25/1990","San Jose","CA"
"Julie","Roberts","julie_roberts@outlook.com","627-555-1212","6011 0000 0000 0004","126-00-7312","2/15/2010","Omaha","NE"
